日期,类型,分类,金额,币种,账户,商户,备注
2025-06-11,支出,光热费,4873,JPY,Amex Gold,,
2025-06-11,支出,外食,2590,JPY,Amex Gold,,
2025-06-12,支出,买菜,375,JPY,三井NL,,
2025-06-12,支出,交通费,356,JPY,Suica,,
2025-06-12,支出,外食,2100,JPY,乐天Pay,,
2025-06-12,支出,外食,769,JPY,三井NL,,
2025-06-12,支出,娱乐,950,JPY,乐天Pay,,
2025-06-12,支出,谷子,1100,JPY,乐天Pay,,
2025-06-13,支出,外食,1200,JPY,三井NL,,
2025-06-13,支出,外食,1733,JPY,乐天Pay,,
2025-06-13,支出,娱乐,900,JPY,现金,,
2025-06-14,支出,买菜,340,JPY,乐天Pay,,
2025-06-14,支出,交通费,1512,JPY,Suica,,
2025-06-14,支出,外食,1150,JPY,现金,,
2025-06-14,支出,外食,710,JPY,三井NL,,
2025-06-15,支出,交通费,733,JPY,Suica,,
2025-06-15,支出,外食,801,JPY,三井NL,,
2025-06-16,支出,外食,1380,JPY,支付宝,,
2025-06-17,支出,买菜,4192,JPY,乐天Pay,,
2025-06-18,支出,买菜,12995,JPY,乐天Master,,
2025-06-18,支出,旅游,7268,JPY,乐天Master,,
2025-06-19,支出,日用品,1980,JPY,三井master,,
2025-06-20,支出,外食,1160,JPY,乐天Pay,,
2025-06-20,支出,外食,6264,JPY,支付宝,,
2025-06-21,支出,买菜,141,JPY,三井NL,,
2025-06-21,支出,交通费,230,JPY,Suica,,
2025-06-21,支出,交通费,356,JPY,Suica,,
2025-06-21,支出,外食,1980,JPY,乐天Pay,,
2025-06-21,支出,外食,660,JPY,Amex Gold,,
2025-06-21,支出,外食,840,JPY,乐天Pay,,
2025-06-22,支出,交通费,824,JPY,Suica,,
2025-06-22,支出,外食,870,JPY,三井NL,,
2025-06-22,支出,娱乐,1200,JPY,现金,,
2025-06-23,支出,外食,800,JPY,三井NL,,
2025-06-25,支出,健身房,1100,JPY,Amex Gold,,
2025-06-25,支出,光热费,11724,JPY,Amex Gold,,
2025-06-25,支出,房租,117160,JPY,epos,,
2025-06-25,支出,话费网费,1043,JPY,Amex Gold,,
2025-06-25,支出,话费网费,3850,JPY,Amex Gold,,
2025-06-26,支出,买菜,3890,JPY,Amex Gold,,
2025-06-26,支出,游戏,1000,JPY,Amex Gold,,
2025-06-27,支出,买菜,1623,JPY,Amex Gold,,
2025-06-27,支出,交通费,636,JPY,Suica,,
2025-06-27,支出,外食,1980,JPY,乐天Pay,,
2025-06-27,支出,外食,2810,JPY,乐天Pay,,
2025-06-27,支出,外食,320,JPY,,,
2025-06-27,支出,娱乐,3070,JPY,,,
2025-06-27,支出,游戏,1000,JPY,Amex Gold,,
2025-06-29,支出,买菜,22408,JPY,乐天Master,,
2025-06-29,支出,交通费,6006,JPY,Amex Gold,,
2025-06-29,支出,交通费,800,JPY,Suica,,
2025-06-30,支出,买菜,609,JPY,乐天Pay,,
2025-06-30,支出,交通费,460,JPY,Suica,,
2025-06-30,支出,外食,2281,JPY,三井NL,,
2025-06-30,支出,外食,4123,JPY,,,
2025-06-30,支出,游戏,10000,JPY,支付宝,,
2025-07-01,支出,交通费,460,JPY,Suica,,
2025-07-01,支出,外食,1180,JPY,乐天Pay,,
2025-07-01,支出,娱乐,1750,JPY,乐天Pay,,
2025-07-03,支出,交通费,460,JPY,Suica,,
2025-07-03,支出,外食,4774,JPY,PayPay,,
2025-07-03,支出,外食,800,JPY,三井NL,,
2025-07-04,支出,外食,1200,JPY,三井NL,,
2025-07-04,支出,外食,289,JPY,三井NL,,
2025-07-04,支出,娱乐,3810,JPY,Amex Gold,,
2025-07-05,支出,交通费,356,JPY,Suica,,
2025-07-05,支出,外食,2280,JPY,PayPay,,
2025-07-05,支出,游戏,3380,JPY,PayPay,,
2025-07-06,支出,交通费,460,JPY,Suica,,
2025-07-06,支出,外食,5500,JPY,PayPay,,
2025-07-06,支出,衣服,1990,JPY,Amex Gold,,
2025-07-07,支出,买菜,265,JPY,三井NL,,
2025-07-07,支出,交通费,167,JPY,Suica,,
2025-07-07,支出,交通费,320,JPY,三井NL,,
2025-07-07,支出,外食,1040,JPY,现金,,
2025-07-07,支出,外食,149,JPY,三井NL,,
2025-07-07,支出,外食,2043,JPY,Amex Gold,,
2025-07-07,支出,日用品,5900,JPY,Amex Gold,,Amazon prime
2025-07-08,支出,光热费,3850,JPY,Amex Gold,,网费
2025-07-08,支出,光热费,5880,JPY,Amex Gold,,水费（2个月）
2025-07-08,支出,旅游,9542,JPY,,,九十九里浜
2025-07-08,支出,衣服,3999,JPY,煤炉卡,,
2025-07-09,支出,外食,1730,JPY,乐天Pay,,
2025-07-09,支出,娱乐,1300,JPY,乐天Pay,,
2025-07-09,支出,游戏,2890,JPY,Amex Gold,,
2025-07-10,支出,交通费,356,JPY,Suica,,
2025-07-10,支出,外食,1450,JPY,Amex Gold,,
2025-07-11,支出,光热费,550,JPY,Amex Gold,,povo
2025-07-11,支出,日用品,9337,JPY,Amex Gold,,
2025-07-12,支出,交通费,460,JPY,Suica,,
2025-07-12,支出,外食,1010,JPY,乐天Pay,,
2025-07-12,支出,外食,710,JPY,三井NL,,
2025-07-13,支出,交通费,726,JPY,Suica,,
2025-07-13,支出,健身房,7500,JPY,Amex Gold,,
2025-07-13,支出,外食,1047,JPY,,,
2025-07-13,支出,外食,2244,JPY,PayPay,,
2025-07-13,支出,外食,2992,JPY,PayPay,,
2025-07-14,支出,医疗,2040,JPY,PayPay,,
2025-07-14,支出,外食,1130,JPY,现金,,
2025-07-14,支出,衣服,5200,JPY,煤炉卡,,
2025-07-15,支出,买菜,419,JPY,乐天Pay,,
2025-07-16,支出,买菜,14357,JPY,ANAPay,,
2025-07-16,支出,外食,1856,JPY,ANAPay,,
2025-07-17,支出,交通费,230,JPY,Suica,,
2025-07-17,支出,外食,520,JPY,Amex Gold,,
2025-07-19,支出,旅游,43014,JPY,,,乗鞍岳
2025-07-20,支出,交通费,460,JPY,Suica,,
2025-07-20,支出,光热费,12146,JPY,Amex Gold,,
2025-07-20,支出,外食,3700,JPY,支付宝,,
2025-07-20,支出,游戏,2793,JPY,,,
2025-07-21,支出,外食,1200,JPY,三井NL,,
2025-07-22,支出,外食,1070,JPY,现金,,
2025-07-22,支出,外食,720,JPY,PayPay,,
2025-07-23,支出,交通费,178,JPY,Suica,,
2025-07-23,支出,外食,1716,JPY,,,
2025-07-24,支出,医疗,3164,JPY,Amex Gold,,
2025-07-24,支出,房租,117160,JPY,epos,,
2025-07-25,支出,买菜,548,JPY,Amex Gold,,
2025-07-25,支出,交通费,1537,JPY,Suica,,
2025-07-25,支出,外食,402,JPY,乐天Pay,,
2025-07-26,支出,交通费,356,JPY,Suica,,
2025-07-26,支出,外食,3150,JPY,支付宝,,
2025-07-26,支出,娱乐,500,JPY,现金,,
2025-07-27,支出,交通费,610,JPY,Suica,,
2025-07-27,支出,外食,2871,JPY,PayPay,,
2025-07-27,支出,外食,990,JPY,Amex Gold,,
2025-07-27,支出,娱乐,400,JPY,现金,,
2025-07-28,支出,买菜,341,JPY,三井NL,,
2025-07-29,支出,交通费,356,JPY,Suica,,
2025-07-29,支出,外食,980,JPY,Suica,,
2025-07-29,支出,娱乐,1470,JPY,,,
2025-07-30,支出,交通费,356,JPY,Suica,,
2025-07-30,支出,外食,4000,JPY,PayPay,,
2025-07-31,支出,外食,540,JPY,Amex Gold,,
2025-08-01,支出,交通费,636,JPY,Suica,,
2025-08-01,支出,外食,4400,JPY,Amex Gold,,
2025-08-01,支出,娱乐,10000,JPY,Amex Gold,,
2025-08-02,支出,外食,670,JPY,三井住友银行,,
2025-08-02,支出,娱乐,7941,JPY,三井master,,
2025-08-03,支出,交通费,1234,JPY,Suica,,
2025-08-03,支出,外食,1880,JPY,乐天Pay,,
2025-08-04,支出,买菜,1593,JPY,乐天Pay,,
2025-08-04,支出,光热费,5560,JPY,Amex Gold,,
2025-08-04,支出,外食,520,JPY,Amex Gold,,
2025-08-05,支出,交通费,466,JPY,,,
2025-08-05,支出,医疗,7853,JPY,,,
2025-08-05,支出,外食,1800,JPY,PayPay,,
2025-08-05,支出,外食,2379,JPY,Amex Gold,,
2025-08-06,支出,买菜,289,JPY,乐天Pay,,
2025-08-06,支出,交通费,475,JPY,Suica,,
2025-08-06,支出,外食,2131,JPY,PayPay,,
2025-08-06,支出,外食,710,JPY,三井NL,,
2025-08-06,支出,娱乐,3600,JPY,乐天Pay,,
2025-08-06,支出,谷子,2370,JPY,煤炉卡,,
2025-08-07,支出,交通费,460,JPY,Suica,,
2025-08-07,支出,外食,4764,JPY,PayPay,,
2025-08-07,支出,外食,650,JPY,乐天Pay,,
2025-08-08,支出,买菜,397,JPY,乐天Pay,,
2025-08-08,支出,外食,1677,JPY,,,
2025-08-09,支出,外食,3430,JPY,乐天Pay,,
2025-08-09,支出,外食,710,JPY,三井NL,,
2025-08-09,支出,外食,950,JPY,PayPay,,
2025-08-10,支出,外食,1330,JPY,PayPay,,
2025-08-10,支出,外食,520,JPY,Amex Gold,,
2025-08-11,支出,外食,1283,JPY,Amex Gold,,
2025-08-11,支出,外食,690,JPY,乐天Pay,,
2025-08-11,支出,日用品,1001,JPY,乐天Pay,,
2025-08-11,支出,日用品,2990,JPY,Amex Gold,,
2025-08-11,支出,谷子,880,JPY,乐天Pay,,
2025-08-12,支出,外食,1930,JPY,三井NL,,
2025-08-13,支出,交通费,460,JPY,Suica,,
2025-08-13,支出,外食,720,JPY,Amex Gold,,
2025-08-14,支出,买菜,160,JPY,,,
2025-08-14,支出,交通费,356,JPY,Suica,,
2025-08-14,支出,健身房,7876,JPY,Amex Gold,,
2025-08-14,支出,外食,2450,JPY,PayPay,,
2025-08-14,支出,外食,950,JPY,PayPay,,
2025-08-15,支出,交通费,1142,JPY,Suica,,
2025-08-15,支出,外食,900,JPY,Amex Gold,,
2025-08-16,支出,买菜,19522,JPY,,,
2025-08-16,支出,交通费,230,JPY,,,
2025-08-16,支出,外食,1081,JPY,,,
2025-08-17,支出,外食,1300,JPY,现金,,
2025-08-17,支出,外食,1757,JPY,三井NL,,
2025-08-18,支出,交通费,694,JPY,Suica,,
2025-08-18,支出,外食,6050,JPY,Amex Gold,,
2025-08-18,支出,日用品,190,JPY,现金,,
2025-08-19,支出,外食,1350,JPY,现金,,
2025-08-20,支出,交通费,1142,JPY,Suica,,
2025-08-20,支出,外食,680,JPY,三井NL,,
2025-08-20,支出,外食,810,JPY,PayPay,,
2025-08-21,支出,外食,1380,JPY,PayPay,,
2025-08-21,支出,外食,585,JPY,Amex Gold,,
2025-08-21,支出,娱乐,2360,JPY,,,
2025-08-22,支出,书籍,1430,JPY,Amex Gold,,
2025-08-22,支出,买菜,848,JPY,,,
2025-08-22,支出,交通费,460,JPY,Suica,,
2025-08-23,支出,便利店,449,JPY,Suica,,
2025-08-23,支出,外食,1100,JPY,现金,,
2025-08-23,支出,日用品,5630,JPY,,,
2025-08-24,支出,交通费,1904,JPY,Suica,,
2025-08-24,支出,外食,3373,JPY,Amex Gold,,
2025-08-25,支出,外食,2107,JPY,乐天Pay,,
2025-08-25,支出,外食,616,JPY,Amex Gold,,
2025-08-25,收入,,,,JPY,,
2025-08-26,支出,交通费,356,JPY,Suica,,
2025-08-26,支出,外食,1400,JPY,PayPay,,
2025-08-26,支出,日用品,1700,JPY,乐天Pay,,
2025-08-27,支出,外食,1340,JPY,Suica,,
2025-08-27,支出,外食,950,JPY,PayPay,,
2025-08-27,支出,房租,117160,JPY,epos,,
2025-08-28,支出,外食,1650,JPY,PayPay,,
2025-08-28,支出,外食,380,JPY,三井NL,,
2025-08-28,支出,外食,495,JPY,Amex Gold,,
2025-08-29,支出,交通费,460,JPY,Suica,,
2025-08-29,支出,便利店,280,JPY,,,
2025-08-29,支出,医疗,1950,JPY,Amex Gold,,
2025-08-29,支出,医疗,912,JPY,Amex Gold,,
2025-08-29,支出,外食,6940,JPY,Amex Gold,,
2025-08-30,支出,旅游,24267,JPY,,,
2025-08-31,支出,交通费,817,JPY,Suica,,
2025-08-31,支出,便利店,539,JPY,Suica,,
2025-08-31,支出,外食,1470,JPY,Amex Gold,,
2025-08-31,支出,日用品,2679,JPY,三菱,,
2025-09-01,支出,便利店,439,JPY,三井NL,,
2025-09-01,支出,便利店,713,JPY,三井NL,,
2025-09-01,支出,外食,1300,JPY,现金,,
2025-09-02,支出,便利店,192,JPY,三井NL,,
2025-09-02,支出,外食,560,JPY,三井Olive,,
2025-09-03,支出,交通费,460,JPY,Suica,,
2025-09-03,支出,便利店,181,JPY,Suica,,
2025-09-03,支出,娱乐,12000,JPY,Amex Gold,,
2025-09-04,支出,交通费,460,JPY,Suica,,
2025-09-04,支出,便利店,240,JPY,三井NL,,
2025-09-04,支出,外食,1000,JPY,三井NL,,
2025-09-04,支出,外食,870,JPY,乐天Pay,,
2025-09-04,收入,娱乐,5700,JPY,,,
2025-09-05,支出,外食,500,JPY,三井NL,,
2025-09-05,支出,外食,5896,JPY,PayPay,,
2025-09-06,支出,交通费,460,JPY,Suica,,
2025-09-06,支出,便利店,140,JPY,现金,,
2025-09-06,支出,外食,1010,JPY,Suica,,
2025-09-07,支出,交通费,1193,JPY,Suica,,
2025-09-07,支出,外食,2070,JPY,PayPay,,
2025-09-08,支出,外食,1550,JPY,现金,,
2025-09-08,支出,外食,640,JPY,Amex Gold,,
2025-09-08,支出,外食,940,JPY,Suica,,
2025-09-08,支出,衣服,2680,JPY,Suica,,
2025-09-08,支出,话费网费,3850,JPY,Amex Gold,,
2025-09-09,支出,交通费,146,JPY,Suica,,
2025-09-09,支出,外食,1300,JPY,现金,,
2025-09-09,支出,日用品,2539,JPY,Amex Gold,,
2025-09-10,支出,交通费,146,JPY,Suica,,
2025-09-10,支出,便利店,930,JPY,三井NL,,
2025-09-10,支出,医疗,1580,JPY,,,
2025-09-10,支出,外食,540,JPY,三井NL,,
2025-09-10,支出,外食,625,JPY,Amex Gold,,
2025-09-10,支出,外食,750,JPY,乐天Pay,,
2025-09-10,支出,外食,940,JPY,Suica,,
2025-09-10,支出,日用品,468,JPY,乐天Pay,,
2025-09-10,支出,话费网费,12980,JPY,Amex Gold,,
2025-09-11,支出,交通费,837,JPY,Suica,,
2025-09-11,支出,便利店,181,JPY,Suica,,
2025-09-11,支出,外食,1380,JPY,PayPay,,
2025-09-11,支出,外食,690,JPY,乐天Pay,,
2025-09-13,支出,健身房,7678,JPY,Amex Gold,,
2025-09-14,支出,衣服,11300,JPY,,,
2025-09-14,支出,谷子,1650,JPY,乐天Pay,,
2025-09-16,支出,外食,770,JPY,三井NL,,
2025-09-16,支出,外食,870,JPY,Suica,,
2025-09-16,支出,日用品,699,JPY,Amex Gold,,
2025-09-17,支出,交通费,816,JPY,Suica,,
2025-09-17,支出,便利店,181,JPY,Suica,,
2025-09-17,支出,便利店,479,JPY,三井NL,,
2025-09-17,支出,外食,3200,JPY,PayPay,,
2025-09-17,支出,外食,770,JPY,三井NL,,
2025-09-17,支出,旅游,167030,JPY,,,冲绳旅游（除机票）
2025-09-17,收入,工资,455000,JPY,三井住友银行,,
2025-09-18,支出,交通费,356,JPY,Suica,,
2025-09-18,支出,便利店,218,JPY,Suica,,
2025-09-18,支出,外食,5150,JPY,ANA卡,,
2025-09-19,支出,便利店,348,JPY,三井NL,,
2025-09-19,支出,便利店,447,JPY,Suica,,
2025-09-19,支出,便利店,522,JPY,Suica,,
2025-09-19,支出,外食,1330,JPY,Suica,,
2025-09-20,支出,买菜,33000,JPY,三井owners,,
2025-09-20,支出,交通费,230,JPY,Suica,,
2025-09-20,支出,便利店,159,JPY,Suica,,
2025-09-20,支出,外食,1070,JPY,三井NL,,
2025-09-20,支出,日用品,1204,JPY,Suica,,
2025-09-21,支出,交通费,1248,JPY,Suica,,
2025-09-21,支出,便利店,1012,JPY,Suica,,
2025-09-21,支出,便利店,330,JPY,三井NL,,
2025-09-21,支出,外食,1300,JPY,三井NL,,
2025-09-21,支出,外食,3200,JPY,PayPay,,
2025-09-21,支出,外食,420,JPY,三井NL,,
2025-09-22,支出,外食,990,JPY,Suica,,
2025-09-23,支出,便利店,170,JPY,三井NL,,
2025-09-23,支出,便利店,808,JPY,Suica,,
2025-09-23,支出,娱乐,2000,JPY,其他,,
2025-09-24,支出,买菜,1851,JPY,ANAPay,,
2025-09-24,支出,便利店,638,JPY,三井NL,,
2025-09-26,支出,交通费,1009,JPY,Suica,,
2025-09-26,支出,便利店,130,JPY,Suica,,
2025-09-26,支出,衣服,13800,JPY,Amex Gold,,
2025-09-27,支出,外食,560,JPY,三井NL,,
2025-09-28,支出,交通费,356,JPY,Suica,,
2025-09-28,支出,便利店,150,JPY,PayPay,,
2025-09-28,支出,便利店,476,JPY,Suica,,
2025-09-28,支出,便利店,635,JPY,三井NL,,
2025-09-28,支出,外食,2600,JPY,PayPay,,
2025-09-28,支出,外食,3200,JPY,支付宝,,
2025-09-28,支出,娱乐,5000,JPY,现金,,
2025-09-29,支出,交通费,292,JPY,Suica,,
2025-09-29,支出,便利店,181,JPY,Suica,,
2025-09-29,支出,外食,1850,JPY,Suica,,
2025-09-29,收入,活动,26240,JPY,,,
2025-09-30,支出,外食,1100,JPY,三井NL,,
2025-09-30,支出,房租,117160,JPY,epos,,
2025-10-01,支出,交通费,356,JPY,Suica,,
2025-10-01,支出,便利店,141,JPY,WAON,,
2025-10-01,支出,便利店,280,JPY,Suica,,
2025-10-01,支出,外食,1100,JPY,现金,,
2025-10-01,支出,转账,50000,JPY,ANA Gold,,ANA Gold充值JAL Pay
2025-10-01,支出,转账,50000,JPY,JAL Pay,,ANA Gold充值JAL Pay
2025-10-02,支出,交通费,977,JPY,Suica,,
2025-10-02,支出,便利店,608,JPY,Suica,,
2025-10-02,支出,外食,1200,JPY,现金,,
2025-10-02,支出,外食,740,JPY,Suica,,咖啡店
2025-10-02,支出,娱乐,500,JPY,ANA Gold Master,,Pixiv Fanbox
2025-10-02,支出,旅游,7900,JPY,ANA Gold Master,,三浦半岛
2025-10-03,支出,买菜,919,JPY,ANA Pay,,
2025-10-03,支出,外食,1280,JPY,PayPay,,拉面
2025-10-03,支出,外食,530,JPY,Amex Gold,,咖啡
2025-10-03,支出,家族卡,14287,JPY,三井事业卡,,家人消费（月底还款）
2025-10-03,支出,转账,5000,JPY,ANA Pay,,ANA Pay 充值 Suica
2025-10-03,支出,转账,5000,JPY,Suica,,ANA Pay 充值 Suica
2025-10-04,支出,交通费,356,JPY,Suica,,
2025-10-04,支出,便利店,140,JPY,Suica,,
2025-10-04,支出,外食,1150,JPY,Suica,,
2025-10-04,支出,外食,1243,JPY,PayPay,,
2025-10-04,支出,娱乐,1000,JPY,Saison Gold,,电影票
2025-10-04,支出,娱乐,300,JPY,ANA Gold Master,,电影票
2025-10-04,支出,衣服,1600,JPY,现金,,
2025-10-05,支出,交通费,1482,JPY,Suica,,
2025-10-05,支出,便利店,780,JPY,Suica,,
2025-10-05,支出,外食,604,JPY,Amex Gold,,咖啡店
2025-10-05,支出,外食,750,JPY,Suica,,
2025-10-05,支出,外食,880,JPY,PayPay,,
2025-10-05,支出,娱乐,8440,JPY,Amex Gold,,看live
2025-10-06,支出,交通费,320,JPY,PayPay,,
2025-10-06,支出,便利店,171,JPY,三井NL,,
2025-10-06,支出,外食,950,JPY,三井NL,,食其家
2025-10-06,支出,话费网费,3850,JPY,ANA Gold,,NURO光网费
2025-10-06,支出,转账,50000,JPY,JAL Pay,,JAL Pay 充值 WAON
2025-10-06,支出,转账,50000,JPY,WAON,,JAL Pay 充值 WAON
2025-10-06,支出,转账,99312,JPY,WAON,,WAON 充值 乐天Pay
2025-10-06,支出,转账,99312,JPY,乐天Pay,,WAON 充值 乐天Pay
2025-10-07,支出,交通费,636,JPY,Suica,,
2025-10-07,支出,便利店,722,JPY,三井NL,,
2025-10-07,支出,光热费,5580,JPY,ANA Gold,,川口市水费
2025-10-07,支出,外食,1400,JPY,Suica,,
2025-10-07,支出,外食,5100,JPY,ANA Pay,,
2025-10-07,支出,娱乐,700,JPY,现金,,
2025-10-07,支出,日用品,687,JPY,Amex Gold,,亚马逊购物
2025-10-07,支出,游戏,7804,RMB,支付宝,,购买Paseli 180000点
2025-10-07,支出,谷子,103730,JPY,Paseli,,amnibus代购
2025-10-07,支出,转账,8000,JPY,ANA Pay,,ANAPay充值Suica
2025-10-07,支出,转账,8000,JPY,Suica,,ANAPay充值Suica
2025-10-07,收入,外食,122,RMB,支付宝,,AA收入
2025-10-08,支出,便利店,108,JPY,Suica,,
2025-10-08,支出,便利店,873,JPY,Suica,,
2025-10-08,支出,外食,2972,JPY,Amex Gold,,
2025-10-08,支出,外食,450,JPY,三井NL,,早饭
2025-10-08,支出,旅游,10890,JPY,View Card,,那須岳
2025-10-08,支出,旅游,1400,JPY,现金,,
2025-10-08,支出,旅游,2100,JPY,现金,,租车
2025-10-09,支出,买菜,8990,JPY,三井事业卡,,
2025-10-09,支出,便利店,162,JPY,三井NL,,
2025-10-09,支出,外食,1360,JPY,三井NL,,
2025-10-09,支出,家族卡,12332,JPY,三井事业卡,,家人消费（月底还款）
2025-10-09,支出,家族卡,880,JPY,三井事业卡,,家人消费（月底还款）
2025-10-09,支出,游戏,2174,RMB,支付宝,,购买Paseli 50000点
2025-10-10,支出,交通费,460,JPY,Suica,,
2025-10-10,支出,便利店,332,JPY,Suica,,
2025-10-10,支出,旅游,10990,JPY,Amex Gold,,租车
2025-10-10,支出,旅游,5000,JPY,三井事业卡,,ETC
2025-10-11,支出,交通费,1088,JPY,Suica,,
2025-10-11,支出,便利店,566,JPY,Suica,,
2025-10-11,支出,外食,1640,JPY,PayPay,,
2025-10-12,支出,交通费,460,JPY,Suica,,
2025-10-12,支出,便利店,118,JPY,Suica,,
2025-10-12,支出,外食,2000,JPY,PayPay,,
2025-10-12,支出,外食,710,JPY,三井NL,,
2025-10-12,支出,外食,990,JPY,现金,,
2025-10-12,支出,娱乐,2000,JPY,Saison Gold,,看电影
2025-10-12,支出,娱乐,890,JPY,乐天Pay,,看电影
2025-10-12,支出,转账,10000,JPY,ANA Pay,,ANA Pay充值Suica
2025-10-12,支出,转账,10000,JPY,Suica,,ANA Pay充值Suica
2025-10-13,支出,便利店,172,JPY,Suica,,
2025-10-13,支出,便利店,174,JPY,三井NL,,
2025-10-13,支出,外食,1000,JPY,三井NL,,
2025-10-13,支出,投资,100000,JPY,三井NL,,SBI投信
2025-10-14,支出,外食,1100,JPY,Suica,,
2025-10-14,支出,外食,1250,JPY,PayPay,,
2025-10-15,支出,便利店,626,JPY,乐天Pay,,
2025-10-15,支出,便利店,73,JPY,Suica,,
2025-10-15,支出,外食,1350,JPY,现金,,
2025-10-15,支出,外食,650,JPY,乐天Pay,,
2025-10-16,支出,外食,610,JPY,Amex Gold,,
2025-10-16,支出,外食,700,JPY,乐天Pay,,
2025-10-16,支出,衣服,8000,JPY,三井事业卡,,
2025-10-16,支出,转账,50000,JPY,ANA Gold,,ANA卡充值JAL Pay
2025-10-16,支出,转账,50000,JPY,JAL Pay,,ANA卡充值JAL Pay
2025-10-17,支出,交通费,356,JPY,Suica,,
2025-10-17,支出,便利店,171,JPY,三井NL,,
2025-10-17,支出,便利店,432,JPY,Suica,,
2025-10-17,支出,外食,5993,JPY,PayPay,,
2025-10-17,支出,娱乐,1940,JPY,乐天Pay,,唱歌
2025-10-17,收入,娱乐,188,RMB,支付宝,,吃饭唱歌AA收款
2025-10-18,支出,便利店,116,JPY,三井NL,,
2025-10-18,支出,便利店,330,JPY,三井NL,,
2025-10-18,支出,其他,270,JPY,乐天Pay,煤炉,邮寄
2025-10-18,支出,外食,1860,JPY,乐天Pay,,
2025-10-18,收入,谷子,3150,JPY,现金,煤炉,卖出
